,,,,,,,,,CERN full probe card (on dicing frame),,,,CMS full probe card (off dicing frame),,,,,,CERN full probe card (on dicing frame),,,,CMS full probe card (off dicing frame),,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,,V dep corresponding to thickness,Maximum variation of Vdep across sensor of ± 10% ,Thickness variation < 10 μm,,V dep corresponding to thickness,Maximum variation of Vdep across sensor of ± 10% ,Thickness variation < 10 μm,,,Sensor ID,V dep corresponding to thickness,Maximum variation of Vdep across sensor of ± 10% ,Thickness variation < 10 μm,,V dep corresponding to thickness,Maximum variation of Vdep across sensor of ± 10% ,Thickness variation < 10 μm
N4792_2,200089,200,com,A,-5,STD,FZ,,,,,,,,,,,,,,,,,,
N4792_3,200089,200,com,A,-5,STD,FZ,,,,,,,,,,,,,,,,,,
N4792_4,200089,200,com,A,-5,STD,FZ,,,,,,passed: 94.5V<160V,failed: 12.3%,passed: 0.5% = 1.0um,,,,,,,,,,
N4790_7,200075,200,com,B,-2,STD,FZ,,,,,,passed: 111.4V < 160V,passed: 2.9%,passed: 0.2% = 0.4um,,,,,,,,,,
N4790_8,200076,200,com,B,-2,STD,FZ,,passed: 111.0V< 160V,passed: 1.7%,passed: 0.3% = 0.6um,,passed: 111.6V< 160V,passed: 1.5%,passed: 1.0% = 2.0um,,,,,,,,,,
N4790_9,200077,200,com,B,-2,STD,FZ,,passed: 111.3V< 160V,passed: 1.7%,passed: 1.0% = 2.0um,,passed: 112.0V< 160V,passed: 1.4%,passed: 0.5% = 1.0um,,,,,,,,,,
N4790_10,200078,200,com,B,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4790_11,200079,200,com,B,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4790_12,200080,200,com,B,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4792_6,200092,200,com,C,-2,STD,FZ,,,,,,passed: 126.6V < 160V,passed: 2.2%,passed: 0.3% = 0.6um,,,,,,,,,,
N4792_7,200093,200,com,C,-2,STD,FZ,,,,,,passed: 124.6V < 160V,passed: 2.7%,passed: 0.3% = 0.6um,,,,,,,,,,
N4792_8,200094,200,com,C,-2,STD,FZ,,,,,,passed: 123.0V< 160V,passed: 1.5%,passed: 1.8% = 3.6um,,,,,,,,,,
N4792_9,200095,200,com,C,-2,STD,FZ,,passed: 121.7V< 160V,passed: 2.4%,passed: 2.2% = 4.4um,,passed: 122.5V< 160V,passed: 2.6%,passed: 1.8% = 3.6um,,,,,,,,,,
N4792_10,200096,200,com,C,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4792_11,200097,200,com,C,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4792_12,200098,200,com,C,-2,STD,FZ,,,,,,passed: 117.2V< 160V,passed: 0.9%,passed: 0.4% = 0.8um,,,,,,,,,,
N4792_13,200099,200,com,C,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4792_18,200104,200,ind,C,-2,STD,FZ,,,,,,passed: 121.2V < 160V,passed: 2.7%,passed: 0.3% = 0.6um,,,,,,,,,,
N4792_19,200105,200,ind,C,-2,STD,FZ,,,,,,passed: 111.3V < 160V,passed: 2.7%,passed: 0.3% = 0.6um,,,,,,,,,,
N4792_20,200106,200,ind,C,-2,STD,FZ,,,,,,passed: 118.5V < 160V,passed: 2.8%,passed: 0.3% = 0.6um,,,,,,,,,,
N4792_21,200107,200,ind,C,-2,STD,FZ,,,,,,passed: 119.3V < 160V,passed: 2.4%,passed: 0.3% = 0.6um,,,,,,,,,,
N4792_22,200108,200,ind,C,-2,STD,FZ,,,,,,passed: 109.4V < 160V,passed: 0.8%,passed: 0.4% = 0.8um,,,,,,,,,,
N4792_23,200109,200,ind,C,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4792_24,200110,200,ind,C,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4790_19,200081,200,com,D,-2,STD,FZ,,,,,,passed: 115.3V < 160V,passed: 1.9%,passed: 0.3% = 0.6um,,,,,,,,,,
N4790_20,200082,200,com,D,-2,STD,FZ,,passed: 115.5V< 160V,passed: 2.0%,passed: 0.9% = 1.8um,,passed: 116.1V< 160V,passed: 2.1%,passed: 0.2% = 0.4um,,,,,,,,,,
N4790_21,200083,200,com,D,-2,STD,FZ,,passed: 110.3V< 160V,passed: 2.6%,passed: 0.4% = 0.8um,,passed: 110.7V< 160V,passed: 2.7%,passed: 0.4% = 0.8um,,,,,,,,,,
N4790_22,200084,200,com,D,-2,STD,FZ,,,,,,passed: 106.9V < 160V,passed: 0.7%,passed: 0.6% = 1.2um,,,,,,,,,,
N4790_23,200085,200,com,D,-2,STD,FZ,,,,,,passed: 118.2V < 160V,passed: 0.5%,passed: 0.6% = 1.2um,,,,,,,,,,
N4790_24,200086,200,com,D,-2,STD,FZ,,,,,,,,,,,,,,,,,,
N4790_25,200087,200,com,D,-2,STD,FZ,,,,,,,,,,,,,,,,,,
