,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To be neutron irradiated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-ray irradiated,,,,,,,,,,,,,,,,Table to be used until diced,,,,,,"Currently all half moons at CERN are not diced, except the few used for X-ray campaign",,,,,,,,,,,,,
To be X-ray irradiated,,,,,,,,Full sensors,,,,,,,,Half moons (non-diced),,,,,, MOS+GCD,,Strip sensors,,Diodes (no p-stop),,,,,,PQC,,HPK structures,
Shipment to HPK week 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broken/ sacrificed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensor ID,Scratch pad ID,Thick- ness,P- Stop,Oxide type,Flat band volt. (V),P- Stop conc.,Proc.,Status in view of dicing frame removal,Current location,RINSC plan,Pre- irrad. test on DF,Pre- irrad. test off DF,Sent to RINSC?,RINSC irrad. round,Post irrad. test,UL,UR,LL,LR,Top,Bottom,"TS UL MOS, GCD","TS LR MOS, GCD",TS UR HGCAL mini Strip,TS LL Tracker like Strip (no p-stop split),TS UL Diodes (3 diodes),TS UR Diodes (2 diodes),TS UR Diodes (3 diodes),TS LL Diodes (2 diodes),TS LL Diodes (3 diodes),TS LR Diodes (3 diodes),TS UL PQC,TS LR PQC,TS Top,TS bottom
N4791_22,100109,300,ind,C,-2,STD,FZ,off DF,TTU,,,,TTU Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4791_23,100110,300,ind,C,-2,STD,FZ,off DF,IHEP,,,,IHEP Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4791_24,100111,300,ind,C,-2,STD,FZ,off DF,IHEP,,,,IHEP Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4791_25,100112,300,ind,C,-2,STD,FZ,off DF,IHEP,,,,IHEP Module Assembly,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,CERN,HEPHY,HEPHY,HPK,CERN
N4790_13,100082,300,com,D,-2,STD,FZ,removed from DF,BROWN,RINSC 1.5E15,"Done, CERN","Done, CERN",sent 29 Oct 21,1,,HPK,HPK,HPK,HPK,HPK,HPK,CERN->X-ray,CERN->Xray,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced,CERN -> sacrifced for MOS+GCD,CERN -> sacrificed for MOS+GCD,CERN,CERN
N4790_14,100083,300,com,D,-2,STD,FZ,removed from DF,BROWN,RINSC 2.0E15,"Done, CERN","Done, CERN",sent 29 Oct 21,2,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4790_15,100084,300,com,D,-2,STD,FZ,removed from DF,CERN,RINSC 1.5E15,"Done, CERN","Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN non-diced->HPK,CERN,CERN
N4790_16,100085,300,com,D,-2,STD,FZ,off DF,BROWN,RINSC 2.0E15,-,"Done, CERN",,TBD,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,HEPHY,CERN,CERN,CERN,to HEPHY,to HEPHY,CERN,HEPHY,HEPHY,HPK,CERN
N4790_17,100086,300,com,D,-2,STD,FZ,off DF,FSU,non-irr. ref,,"Done, CERN",,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,HEPHY,CERN,CERN,CERN,to HEPHY,to HEPHY,CERN,HEPHY,HEPHY,HPK,CERN
N4790_18,100087,300,com,D,-2,STD,FZ,off DF,BROWN,,,,,,,HPK,HPK,HPK,HPK,HPK,HPK,CERN,CERN,CERN,HEPHY,CERN,CERN,CERN,to HEPHY,to HEPHY,CERN,HEPHY,HEPHY,HPK,CERN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
